,002_gazeX,002_gazeY,002_pupilSize,022_gazeX,022_gazeY,022_pupilSize
0,0.33642578125,0.2598632872104645,1650.0,0.29267579317092896,0.3160156309604645,1687.0
1,0.34013670682907104,0.26318359375,1652.0,0.30322265625,0.31855468451976776,1688.0
2,0.3423827886581421,0.259765625,1653.0,0.3119140863418579,0.29814453423023224,1699.0
3,0.34345704317092896,0.25898437201976776,1649.0,0.31005859375,0.26044921576976776,1699.0
4,0.33525389432907104,0.24160155653953552,1653.0,0.29150390625,0.2421875,1695.0
5,0.31220704317092896,0.21835938096046448,1647.0,0.2685546875,0.22871094942092896,1716.0
6,0.2890625,0.20107421278953552,1651.0,0.2408202886581421,0.20556640625,1713.0
7,0.27558594942092896,0.17207032442092896,1657.0,0.22626954317092896,0.18867188692092896,1704.0
8,0.4203125238418579,0.32792969048023224,1569.0,0.22480469942092896,0.17568358778953552,1699.0
9,0.4285156726837158,0.32880859076976776,1572.0,0.2264648675918579,0.16425782442092896,1717.0
10,0.4222656488418579,0.32060547173023224,1575.0,0.2412109375,0.1845703125,1709.0
11,0.4201171398162842,0.32783202826976776,1568.0,0.31367188692092896,0.34453125298023224,1652.0
12,0.4237304925918579,0.33417968451976776,1571.0,0.3109375238418579,0.34404297173023224,1669.0
13,0.4329102039337158,0.3453125059604645,1573.0,0.3130859136581421,0.35136719048023224,1669.0
14,0.4359375238418579,0.35175780951976776,1571.0,0.3153320550918579,0.35722656548023224,1668.0
15,0.44384765625,0.3638671934604645,1569.0,0.3184570074081421,0.35957030951976776,1669.0
16,0.4496093988418579,0.37158203125,1570.0,0.3082031011581421,0.3428710997104645,1672.0
17,0.4417968988418579,0.35498046875,1566.0,0.30000001192092896,0.33134765923023224,1665.0
18,0.4294922351837158,0.3470703065395355,1555.0,0.31376951932907104,0.3365234434604645,1670.0
19,0.09121096134185791,0.36796875298023224,1570.0,0.32763671875,0.3505859375,1673.0
20,0.0634765625,0.37763671576976776,1577.0,0.3280273675918579,0.3545898497104645,1674.0
21,0.06337893009185791,0.392578125,1594.0,0.32470703125,0.3804687485098839,1675.0
22,0.061718761920928955,0.4013671875,1599.0,0.3296874761581421,0.3876953125,1671.0
23,0.0576171875,0.39628906548023224,1591.0,0.3306640386581421,0.3954101577401161,1669.0
24,0.08671873807907104,0.4117187485098839,1613.0,0.32939451932907104,0.3960937485098839,1677.0
25,0.08281248807907104,0.3963867202401161,1602.0,0.32158201932907104,0.39189453423023224,1682.0
26,0.08349609375,0.3941406235098839,1603.0,0.31396484375,0.39521484076976776,1678.0
27,0.08701169490814209,0.3956054672598839,1604.0,0.30839842557907104,0.39111328125,1689.0
28,0.08955079317092896,0.40966796875,1622.0,0.3099609613418579,0.38544921576976776,1692.0
29,0.08769530057907104,0.4007812514901161,1612.0,0.3184570074081421,0.3907226547598839,1694.0
30,0.08730471134185791,0.40546874701976776,1617.0,0.3192383050918579,0.38691405951976776,1696.0
31,0.0859375,0.4076171889901161,1618.0,0.31669920682907104,0.396484375,1711.0
32,0.08486330509185791,0.4061523452401161,1620.0,0.19062501192092896,0.4580078125,1711.0
33,0.08212888240814209,0.40507812798023224,1628.0,0.09355467557907104,0.47695312462747097,1727.0
34,0.08164060115814209,0.40019531548023224,1631.0,0.08896481990814209,0.48320312425494194,1737.0
35,0.083984375,0.40214844048023224,1628.0,0.08749997615814209,0.48681640625,1741.0
36,0.07978516817092896,0.39921875298023224,1630.0,0.08554685115814209,0.4865234373137355,1746.0
37,0.072265625,0.3951171860098839,1631.0,0.07539063692092896,0.47792968712747097,1747.0
38,0.28593748807907104,0.22978514432907104,1626.0,0.076171875,0.4865234373137355,1747.0
39,0.2767578363418579,0.17626953125,1655.0,0.08251953125,0.48789062537252903,1769.0
40,0.2686523199081421,0.185546875,1657.0,0.08759766817092896,0.5006835937383585,1765.0
41,0.27324217557907104,0.19648438692092896,1670.0,0.08623045682907104,0.509375000372529,1778.0
42,0.2759765386581421,0.19755858182907104,1662.0,0.08515626192092896,0.5047851563431323,1779.0
43,0.2725585699081421,0.19912108778953552,1663.0,0.08613282442092896,0.5037109374534339,1785.0
44,0.27001953125,0.21113282442092896,1664.0,0.09033203125,0.5030273436568677,1776.0
45,0.265625,0.21113282442092896,1658.0,0.10068356990814209,0.515039062127471,1788.0
46,0.26298826932907104,0.20292967557907104,1657.0,0.10029298067092896,0.49941406247671694,1772.0
47,0.26152342557907104,0.20302733778953552,1654.0,0.10283201932907104,0.516503905877471,1791.0
48,0.5420898199081421,0.42021484673023224,1537.0,0.09892576932907104,0.49667968740686774,1773.0
49,0.5573241710662842,0.4359375014901161,1516.0,0.1123046875,0.5087890625,1779.0
50,0.5536133050918579,0.4349609389901161,1518.0,0.11572265625,0.510351562872529,1787.0
51,0.5536133050918579,0.4410156235098839,1523.0,0.12099611759185791,0.51416015625,1783.0
52,0.55322265625,0.4473632797598839,1529.0,0.11806643009185791,0.49960937499417923,1764.0
53,0.55517578125,0.451171875,1533.0,0.12226563692092896,0.5177734382450581,1779.0
54,0.5563476085662842,0.4491210952401161,1534.0,0.1220703125,0.517968749627471,1779.0
55,0.5559570789337158,0.44560546800494194,1534.0,0.119140625,0.5119140623137355,1780.0
56,0.5577148199081421,0.4488281235098839,1534.0,0.12177735567092896,0.5168945305049419,1783.0
57,0.5614258050918579,0.4473632797598839,1522.0,0.11845701932907104,0.5055664060637355,1796.0
58,0.6203124523162842,0.47714843787252903,1517.0,0.11259764432907104,0.5166015625,1784.0
