PID = PID041
Condition = ground
Date = 2023-02-06_14h53.01.135

Trial	Video	Condition	Inactivity Duration
1	010	ground	4.41
2	020	ground	2.43
3	012	ground	4.52
4	004	ground	2.66
5	018	ground	4.82
6	002	ground	4.99
7	008	ground	3.77
8	006	ground	3.43
9	016	ground	3.57
10	022	ground	5.05
11	014	ground	4.4
