PID = PID063
Condition = ground
Date = 2023-02-27_15h28.11.326

Trial	Video	Condition	Inactivity Duration
1	018	ground	11.21
2	008	ground	10.66
3	012	ground	10.66
4	010	ground	11.4
5	006	ground	10.71
6	004	ground	10.41
7	002	ground	11.09
8	022	ground	10.68
9	016	ground	9.85
10	014	ground	10.76
11	020	ground	11.06
