PID = TESTPID076
Condition = context
Date = 2023-03-17_15h41.06.020

Trial	Video	Condition	Inactivity Duration
1	007	context	0.55
2	015	context	0.63
3	009	context	0.57
4	021	context	0.9
5	017	context	1.7
6	005	context	0.93
7	023	context	0.51
8	013	context	0.6
9	019	context	2.6
10	003	context	2.17
11	011	context	1.83
