,016_arousal,016_valence,018_arousal,018_valence,010_arousal,010_valence,020_arousal,020_valence,006_arousal,006_valence,014_arousal,014_valence,004_arousal,004_valence,002_arousal,002_valence
0,-0.00244140625,0.00244140625,0.0,0.00244140625,0.0,0.0,0.0048828125,0.0146484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.00244140625,0.00244140625,0.0,0.00244140625,0.0,0.0,0.0048828125,0.0146484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.0048828125,0.00244140625,0.0,0.00244140625,0.0,0.0,0.0048828125,0.01220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-0.00732421875,0.00244140625,0.0,0.00244140625,0.0,0.0,0.0048828125,0.00732421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-0.009765625,0.0048828125,0.0,0.00244140625,0.0,0.0,0.00244140625,0.00244140625,0.0,0.0,0.0,0.0,-0.00244140625,0.0,0.0,0.0
5,-0.01220703125,0.0048828125,0.0,0.00244140625,0.0,0.0,0.00732421875,0.00244140625,0.0,0.0,0.0,0.0,-0.00244140625,0.0,0.0,0.0
6,-0.01220703125,0.00732421875,0.0,0.00244140625,0.0,0.0,0.0146484375,0.00732421875,0.0,0.0,0.0,0.0,-0.00244140625,0.0,0.0,0.0
7,-0.0146484375,0.00732421875,0.0,0.00244140625,0.0,0.0,0.0146484375,0.01220703125,0.0,0.0,0.0,0.0,-0.00244140625,0.0,0.0,0.0
8,-0.0146484375,0.00732421875,0.0,0.0,0.0,0.0,0.00732421875,0.009765625,0.0,0.0,0.0,0.0,-0.00244140625,0.0,0.0,0.0
9,-0.0146484375,0.00732421875,-0.00244140625,-0.00244140625,0.0,0.0,0.0,0.0048828125,0.0,0.0,0.0,0.0,-0.00244140625,0.0,0.0,0.0
10,-0.0146484375,0.00732421875,-0.00732421875,-0.01220703125,0.0,0.0,-0.0048828125,0.00244140625,0.0,0.0,0.0,0.0,-0.00244140625,0.0,0.0,0.0
11,-0.01953125,0.00732421875,-0.00732421875,-0.0146484375,0.0,0.0,-0.01220703125,0.00732421875,-0.0048828125,0.00732421875,0.0,0.0,-0.00244140625,0.0,0.0,0.0
12,-0.01953125,0.0048828125,-0.009765625,-0.01708984375,0.0,-0.00244140625,-0.02197265625,0.02197265625,-0.0244140625,0.04150390625,0.0,0.0,-0.00244140625,0.0,0.0,0.0
13,-0.01953125,0.0048828125,-0.01220703125,-0.01708984375,0.0,-0.00244140625,-0.02685546875,0.029296875,-0.05859375,0.0927734375,0.0,0.0,-0.00244140625,0.0,0.0,0.0
14,-0.02197265625,0.0048828125,-0.0244140625,-0.01708984375,0.0,-0.00244140625,-0.029296875,0.04150390625,-0.0830078125,0.126953125,0.0,0.0,-0.00244140625,0.0,0.0,0.0
15,-0.02685546875,0.00244140625,-0.029296875,-0.01708984375,0.0,-0.00244140625,-0.029296875,0.0537109375,-0.09765625,0.15625,0.0,0.0,-0.00244140625,0.0,0.0,0.0
16,-0.03173828125,-0.00244140625,-0.03173828125,-0.01708984375,-0.00244140625,-0.00244140625,-0.02685546875,0.06591796875,-0.1025390625,0.16357421875,0.0,0.0,-0.00244140625,0.0,0.0,0.0
17,-0.0341796875,-0.0048828125,-0.03173828125,-0.01708984375,-0.00244140625,-0.00244140625,-0.02685546875,0.068359375,-0.1025390625,0.166015625,0.0,0.0,-0.00244140625,0.0,0.0,0.0
18,-0.0341796875,-0.0048828125,-0.03173828125,-0.01708984375,-0.00244140625,-0.00244140625,-0.02685546875,0.068359375,-0.10498046875,0.166015625,0.0,0.0,-0.00244140625,0.0,0.0,0.0
