,016_driftX,016_driftY,018_driftX,018_driftY,010_driftX,010_driftY,020_driftX,020_driftY,006_driftX,006_driftY,014_driftX,014_driftY,004_driftX,004_driftY,002_driftX,002_driftY
0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
1,0.01816403865814209,0.09208983182907104,0.1426757574081421,-0.16552734375,9999.0,9999.0,-0.48310546576976776,-0.15771484375,0.09638673067092896,0.20537108182907104,-0.19775390625,0.13300782442092896,-0.03164064884185791,0.11464843153953552,9999.0,9999.0
2,0.01904296875,0.08457031846046448,0.1424804925918579,-0.16132813692092896,9999.0,9999.0,-0.4833007752895355,-0.15839844942092896,0.10048830509185791,0.23203125596046448,-0.19707030057907104,0.13808593153953552,-0.03183591365814209,0.1103515625,9999.0,9999.0
3,0.017773449420928955,0.08632811903953552,0.13916015625,-0.15986329317092896,9999.0,9999.0,-0.4828124940395355,-0.16015625,0.09580075740814209,0.19248047471046448,-0.2001953125,0.13222655653953552,-0.03183591365814209,0.11708983778953552,9999.0,9999.0
4,0.01816403865814209,0.08271485567092896,0.13740235567092896,-0.1585937738418579,9999.0,9999.0,-0.48095703125,-0.16083985567092896,0.13251954317092896,0.24873048067092896,-0.19853514432907104,0.13271483778953552,-0.024707019329071045,0.11259764432907104,9999.0,9999.0
5,0.017285168170928955,0.08212891221046448,0.13916015625,-0.15742188692092896,9999.0,9999.0,-0.48125000298023224,-0.1622070074081421,9999.0,9999.0,-0.19775390625,0.12656250596046448,-0.027539074420928955,0.11503905057907104,9999.0,9999.0
6,0.020312488079071045,0.07939451932907104,0.1435546875,-0.1644531488418579,9999.0,9999.0,-0.48066405951976776,-0.16093748807907104,9999.0,9999.0,-0.19999998807907104,0.13271483778953552,-0.0146484375,0.12041014432907104,9999.0,9999.0
7,0.019238293170928955,0.0791015625,0.1416015625,-0.1548827886581421,9999.0,9999.0,-0.4823242127895355,-0.1640625,9999.0,9999.0,-0.19999998807907104,0.11884766817092896,-0.02333986759185791,0.12617188692092896,0.1869140863418579,0.5691406279802322
8,0.018359363079071045,0.07148438692092896,0.1426757574081421,-0.1634765863418579,0.4605468511581421,-0.1533203125,-0.4820312559604645,-0.16533201932907104,9999.0,9999.0,-0.20263671875,0.10664063692092896,-0.02333986759185791,0.12490233778953552,0.19072264432907104,0.5885742157697678
9,0.01904296875,0.06259766221046448,0.1415039300918579,-0.1625000238418579,9999.0,9999.0,-0.48828125,-0.1727539300918579,9999.0,9999.0,-0.20400390028953552,0.11962890625,-0.02197265625,0.13935548067092896,0.1903320550918579,0.5769531279802322
10,0.01865231990814209,0.05966797471046448,0.14013671875,-0.1558593511581421,0.13007813692092896,-0.047167956829071045,-0.48955078423023224,-0.1717773675918579,9999.0,9999.0,-0.20654296875,0.10751953721046448,-0.02158200740814209,0.13652342557907104,0.1922851800918579,0.5779296904802322
11,0.01455080509185791,0.07783204317092896,0.14033204317092896,-0.16386717557907104,9999.0,9999.0,-0.49150390923023224,-0.1729491949081421,0.3680664300918579,0.31611327826976776,-0.20419922471046448,0.12753906846046448,-0.01904296875,0.14492186903953552,0.18623048067092896,0.5625976547598839
12,0.01845705509185791,0.05996093153953552,0.1415039300918579,-0.1568359136581421,0.08056640625,-0.08759766817092896,-0.4942382872104645,-0.1747070550918579,9999.0,9999.0,-0.20771485567092896,0.10078126192092896,-0.02187502384185791,0.13613280653953552,0.189453125,0.5790039077401161
13,0.01220703125,0.05214843153953552,0.13994139432907104,-0.1610351800918579,-0.06660157442092896,-0.13896483182907104,-0.4935546815395355,-0.16767579317092896,0.37324219942092896,0.31367187201976776,-0.208984375,0.10126954317092896,-0.01962888240814209,0.13232421875,0.18378907442092896,0.5467773452401161
14,0.013671875,0.04921874403953552,0.13818359375,-0.15507811307907104,-0.18437498807907104,-0.1787109375,-0.49560546875,-0.17626953125,0.36738282442092896,0.3456054627895355,-0.20791015028953552,0.09746092557907104,-0.02138674259185791,0.13349610567092896,0.18574219942092896,0.5631835907697678
15,0.01123046875,0.072265625,0.13818359375,-0.15966796875,-0.18339842557907104,-0.1767578125,-0.48896484076976776,-0.16728514432907104,9999.0,9999.0,-0.20820313692092896,0.09785157442092896,-0.01953125,0.13457030057907104,0.1861327886581421,0.564453125
16,0.013378918170928955,0.06806641817092896,0.1382812261581421,-0.15947264432907104,-0.18564453721046448,-0.17919921875,-0.4891601502895355,-0.1664062738418579,0.37177735567092896,0.3173828125,-0.20361328125,0.09677734971046448,-0.018261730670928955,0.13955077528953552,0.18193358182907104,0.5618164055049419
17,0.014355480670928955,0.06318360567092896,0.1358398199081421,-0.15888673067092896,-0.18281251192092896,-0.1786133050918579,-0.42109374701976776,-0.1636718511581421,0.18212890625,0.29570312798023224,-0.20322266221046448,0.09843748807907104,0.00986325740814209,0.17568358778953552,0.17890626192092896,0.53955078125
18,0.013476550579071045,0.08017578721046448,0.13544923067092896,-0.1590820550918579,-0.18544921278953552,-0.1776367425918579,-0.3037109375,-0.1591796875,0.0361328125,0.26533202826976776,-0.20224609971046448,0.11640626192092896,0.046093761920928955,0.2828125059604645,0.1763671636581421,0.5331054702401161
19,0.005566418170928955,0.0771484375,0.10791015625,-0.15947264432907104,-0.18251952528953552,-0.17724609375,9999.0,9999.0,0.015625,0.25175781548023224,-0.20048826932907104,0.10996094346046448,0.03955078125,0.26533202826976776,9999.0,9999.0
