,016_gazeX,016_gazeY,016_pupilSize,018_gazeX,018_gazeY,018_pupilSize,010_gazeX,010_gazeY,010_pupilSize,020_gazeX,020_gazeY,020_pupilSize,006_gazeX,006_gazeY,006_pupilSize,014_gazeX,014_gazeY,014_pupilSize,004_gazeX,004_gazeY,004_pupilSize,002_gazeX,002_gazeY,002_pupilSize
1279,0.2798827886581421,0.10908204317092896,1224.0,-0.11074221134185791,0.12578123807907104,1033.0,-0.12138670682907104,-0.1800781488418579,790.0,0.01230466365814209,-0.21142578125,952.0,-0.01503908634185791,0.022363275289535522,899.0,0.10527342557907104,0.07792967557907104,792.0,0.008007824420928955,0.11513671278953552,1005.0,0.2625976800918579,0.19921875,790.0
1280,0.3031250238418579,0.06845703721046448,1239.0,-0.4013671875,-0.00546872615814209,1035.0,-0.19130858778953552,-0.1966797113418579,789.0,0.00449216365814209,-0.21269530057907104,928.0,-0.005859375,0.04550781846046448,894.0,0.07041013240814209,0.08701172471046448,802.0,-0.01611328125,0.12412109971046448,1016.0,9999.0,9999.0,9999.0
1281,0.3031250238418579,0.001953125,1244.0,-0.47382812201976776,-0.052734375,1010.0,-0.19775390625,-0.19580078125,808.0,0.004199206829071045,-0.2132812738418579,941.0,-0.017382800579071045,0.0068359375,925.0,0.07792967557907104,0.10468751192092896,835.0,-0.01865231990814209,0.10849609971046448,1024.0,9999.0,9999.0,9999.0
1282,0.30693358182907104,-0.01513671875,1256.0,-0.46992187201976776,-0.025097668170928955,1013.0,-0.19755858182907104,-0.19550782442092896,797.0,9999.0,9999.0,9999.0,-0.00830078125,0.0537109375,922.0,0.0693359375,0.11982423067092896,798.0,-0.01259768009185791,0.119140625,1041.0,9999.0,9999.0,9999.0
1283,0.30888670682907104,-0.010058581829071045,1260.0,-0.46953125298023224,-0.03359377384185791,1001.0,-0.21572265028953552,-0.19160157442092896,777.0,0.3228515386581421,-0.2000976800918579,2529.0,9999.0,9999.0,9999.0,0.076171875,0.11982423067092896,854.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
1284,0.3062499761581421,-0.00595700740814209,1262.0,-0.46826171875,-0.044921875,997.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-0.00634765625,0.041015625,911.0,0.07158201932907104,0.13291016221046448,806.0,-0.023242175579071045,0.09628906846046448,1024.0,0.2457031011581421,0.16337889432907104,834.0
1285,0.30341798067092896,0.0007812380790710449,1271.0,-0.13818359375,0.07392579317092896,989.0,9999.0,9999.0,9999.0,0.31367188692092896,-0.2081054449081421,2506.0,0.02187502384185791,0.07597655057907104,909.0,0.064453125,0.12675780057907104,817.0,-0.0185546875,0.09091797471046448,1057.0,9999.0,9999.0,9999.0
1286,0.30634766817092896,0.00019532442092895508,1261.0,-0.13779297471046448,0.06289061903953552,994.0,-0.15205079317092896,-0.17548829317092896,777.0,-0.015625,-0.21113282442092896,908.0,0.030078113079071045,0.08486327528953552,928.0,-0.01796877384185791,0.061328113079071045,824.0,-0.019726574420928955,0.06708985567092896,1071.0,0.2572265863418579,0.16865235567092896,873.0
1287,0.2962890863418579,0.00537109375,1251.0,-0.13583984971046448,0.07148438692092896,982.0,-0.14189451932907104,-0.17890626192092896,791.0,9999.0,9999.0,9999.0,0.0263671875,0.09228515625,906.0,-0.024707019329071045,0.05869141221046448,820.0,-0.02099609375,0.06210938096046448,1083.0,9999.0,9999.0,9999.0
1288,0.2333008050918579,-0.015332043170928955,1268.0,-0.13261717557907104,0.07773438096046448,965.0,-0.13554686307907104,-0.1830078363418579,803.0,-0.02236330509185791,-0.2100585699081421,0.0,0.030566394329071045,0.10507813096046448,920.0,-0.030566394329071045,0.051464855670928955,799.0,-0.018261730670928955,0.06865233182907104,1087.0,0.24824219942092896,0.17919921875,856.0
1289,0.32294923067092896,0.169921875,1865.0,-0.13408201932907104,0.07343751192092896,952.0,-0.13007813692092896,-0.1845703125,806.0,-0.020800769329071045,-0.20751953125,928.0,0.02919924259185791,0.10234373807907104,919.0,-0.04287111759185791,0.022851556539535522,806.0,-0.01816403865814209,0.08906251192092896,1073.0,9999.0,9999.0,9999.0
1290,0.4225585460662842,0.05576172471046448,1767.0,-0.13720703125,0.07080078125,927.0,-0.12392580509185791,-0.18583983182907104,816.0,9999.0,9999.0,9999.0,0.03330075740814209,0.076171875,943.0,-0.046875,0.03457030653953552,786.0,-0.01308596134185791,0.08369141817092896,1095.0,9999.0,9999.0,9999.0
1291,0.2953125238418579,-0.11562502384185791,1255.0,-0.13535156846046448,0.07773438096046448,937.0,-0.12021481990814209,-0.1869140863418579,827.0,-0.02011716365814209,-0.2074218988418579,959.0,0.03125,0.08408203721046448,917.0,-0.037402331829071045,0.03701171278953552,796.0,-0.02255856990814209,0.06435546278953552,1089.0,9999.0,9999.0,9999.0
1292,0.2945312261581421,-0.11445313692092896,1264.0,-0.13583984971046448,0.07275390625,917.0,-0.11699217557907104,-0.18769532442092896,830.0,9999.0,9999.0,9999.0,0.029980480670928955,0.07167968153953552,930.0,-0.039257824420928955,0.0439453125,786.0,0.16679686307907104,-0.09121096134185791,1820.0,0.24980467557907104,0.2275390625,931.0
1293,0.2940429449081421,-0.10898435115814209,1269.0,-0.13603514432907104,0.05996093153953552,902.0,-0.11904299259185791,-0.18535155057907104,838.0,-0.16494140028953552,-0.20361328125,957.0,0.02783203125,0.09804686903953552,930.0,-0.0390625,0.047558605670928955,789.0,0.031933605670928955,0.08457031846046448,1095.0,0.25468748807907104,0.22177734971046448,946.0
1294,0.29560548067092896,-0.10507810115814209,1264.0,-0.13515624403953552,0.04931640625,899.0,-0.12714844942092896,-0.18281251192092896,828.0,-0.201171875,-0.2069336175918579,943.0,0.00771486759185791,0.03427734971046448,903.0,-0.044726550579071045,0.05654296278953552,765.0,0.02529299259185791,0.07802733778953552,1096.0,9999.0,9999.0,9999.0
1295,0.2967773675918579,-0.09853518009185791,1266.0,-0.13320311903953552,0.045703113079071045,893.0,9999.0,9999.0,9999.0,-0.20488280057907104,-0.20732420682907104,942.0,0.01699221134185791,0.049023449420928955,922.0,-0.04140627384185791,0.0517578125,803.0,0.020312488079071045,0.08095702528953552,1085.0,9999.0,9999.0,9999.0
