,002_arousal,002_valence,018_arousal,018_valence,014_arousal,014_valence,010_arousal,010_valence,008_arousal,008_valence
65,-0.02197265625,0.0732421875,0.0,0.0,0.01220703125,-0.03662109375,0.0,0.0,0.0,0.0
66,-0.02197265625,0.0732421875,0.0,0.0,0.01220703125,-0.0439453125,0.0,0.0,0.0,0.0
67,-0.02197265625,0.0732421875,0.0,0.0,0.01220703125,-0.05859375,0.0,0.0,0.0,0.0
68,-0.02197265625,0.0732421875,0.0,0.0,0.009765625,-0.068359375,0.0,0.0,0.0,0.0
69,-0.02197265625,0.0732421875,0.0,0.0,0.00732421875,-0.07568359375,0.0,0.0,0.0,0.0
70,-0.02197265625,0.0732421875,0.0,0.0,0.0048828125,-0.087890625,0.0,0.0,0.0,0.0
71,-0.02197265625,0.0732421875,0.0,0.0,0.0048828125,-0.0927734375,-0.00244140625,0.0,0.0,0.0
72,-0.02197265625,0.0732421875,0.0,0.0,0.00244140625,-0.09765625,-0.009765625,0.00244140625,0.0,0.0
73,-0.02197265625,0.0732421875,0.0,0.0,0.0,-0.1025390625,-0.0146484375,0.00732421875,0.0,0.0
74,-0.02197265625,0.0732421875,0.0,0.0,0.0,-0.10498046875,-0.01708984375,0.00732421875,0.0,0.0
75,-0.02197265625,0.0732421875,0.0,0.0,0.0,-0.1025390625,-0.01708984375,0.00732421875,0.0,0.0
76,-0.02197265625,0.0732421875,0.0,0.0,0.0048828125,-0.087890625,-0.01708984375,0.00732421875,0.0,0.0
77,-0.02197265625,0.0732421875,0.0,0.0,0.0,-0.07568359375,-0.01708984375,0.00732421875,0.0,0.0
78,-0.02197265625,0.0732421875,0.0,0.0,-0.00244140625,-0.068359375,-0.01708984375,0.00732421875,0.0,0.0
79,-0.02197265625,0.0732421875,0.0,0.0,-0.00244140625,-0.068359375,-0.01708984375,0.00732421875,0.0,0.0
80,-0.02197265625,0.0732421875,0.0,0.0,-0.00244140625,-0.068359375,-0.01708984375,0.00732421875,0.0,0.0
81,-0.02197265625,0.0732421875,0.0,0.0,-0.00244140625,-0.068359375,-0.01708984375,0.00732421875,0.0,0.0
82,-0.02197265625,0.0732421875,0.0,0.0,-0.00244140625,-0.068359375,-0.0146484375,0.00732421875,0.0,0.0
83,-0.02197265625,0.0732421875,0.0,0.0,-0.00244140625,-0.068359375,-0.0146484375,0.00732421875,0.0,0.0
84,-0.02197265625,0.0732421875,0.0,0.0,-0.00244140625,-0.068359375,-0.01220703125,0.00732421875,0.0,0.0
85,-0.02197265625,0.0732421875,0.0,0.0,-0.00244140625,-0.068359375,-0.01220703125,0.0048828125,0.0,0.0
86,-0.02197265625,0.0732421875,0.0,0.0,-0.00244140625,-0.068359375,-0.009765625,0.0048828125,0.0,0.0
87,-0.02197265625,0.0732421875,0.0,0.0,-0.00244140625,-0.068359375,-0.009765625,0.0048828125,0.0,0.0
88,-0.02197265625,0.0732421875,0.0,0.0,-0.00244140625,-0.068359375,-0.009765625,0.0048828125,0.0,0.0
89,-0.02197265625,0.0732421875,0.0,0.0,-0.00244140625,-0.068359375,-0.00732421875,0.00244140625,0.0,0.0
90,-0.02197265625,0.0732421875,0.0,0.0,-0.00244140625,-0.068359375,-0.00732421875,0.00244140625,0.0,0.0
91,-0.02197265625,0.0732421875,0.0,0.0,-0.00244140625,-0.068359375,-0.00732421875,0.00244140625,0.0,0.0
92,-0.02197265625,0.0732421875,0.0,0.0,-0.00244140625,-0.068359375,-0.0048828125,0.00244140625,0.0,0.0
93,-0.02197265625,0.0732421875,0.0,0.0,-0.00244140625,-0.068359375,-0.0048828125,0.00244140625,0.0,0.0
94,-0.02197265625,0.0732421875,0.0,0.0,-0.00244140625,-0.068359375,-0.0048828125,0.0,0.0,0.0
95,-0.02197265625,0.0732421875,0.0,0.0,-0.00244140625,-0.068359375,-0.0048828125,0.0,0.0,0.0
96,-0.02197265625,0.0732421875,0.0,0.0,-0.00244140625,-0.068359375,-0.0048828125,0.0,0.0,0.0
97,-0.02197265625,0.078125,0.0,0.0,-0.00244140625,-0.0732421875,-0.0048828125,0.0,0.0,0.0
98,-0.02197265625,0.08056640625,0.0,0.0,0.0,-0.0732421875,-0.0048828125,-0.00244140625,0.0,0.0
99,-0.01953125,0.09033203125,0.0,0.0,0.0,-0.07568359375,-0.0048828125,-0.00244140625,0.0,0.0
100,-0.01708984375,0.1025390625,0.0,0.0,-0.00244140625,-0.078125,-0.0048828125,-0.0048828125,0.0,0.0
101,-0.0146484375,0.107421875,0.0,0.0,-0.00244140625,-0.0830078125,-0.0048828125,-0.0048828125,0.0,0.0
102,-0.01220703125,0.1123046875,0.0,0.0,-0.0048828125,-0.09765625,-0.0048828125,-0.0048828125,0.0,0.0
103,-0.01220703125,0.1171875,0.0,0.0,-0.0048828125,-0.107421875,-0.0048828125,-0.0048828125,0.0,0.0
104,-0.00732421875,0.12451171875,0.0,0.0,-0.0048828125,-0.11474609375,-0.0048828125,-0.00732421875,0.0,0.0
105,-0.00244140625,0.13916015625,0.0,0.0,-0.00244140625,-0.1220703125,-0.0048828125,-0.00732421875,0.0,0.0
106,0.0,0.146484375,0.0,0.0,0.0,-0.126953125,-0.0048828125,-0.00732421875,0.0,0.0
