,012_arousal,012_valence,002_arousal,002_valence,016_arousal,016_valence,006_arousal,006_valence,014_arousal,014_valence,020_arousal,020_valence,008_arousal,008_valence,018_arousal,018_valence,010_arousal,010_valence,004_arousal,004_valence
24,0.0,0.0,0.00244140625,0.0048828125,0.0048828125,-0.00244140625,-0.04638671875,0.05615234375,0.009765625,0.01708984375,-0.0634765625,0.126953125,0.01220703125,-0.0244140625,0.04150390625,0.05126953125,0.0,0.0,0.0146484375,0.01220703125
25,0.0,0.0,0.00244140625,0.0048828125,0.00732421875,-0.00244140625,-0.05859375,0.05615234375,0.009765625,0.01953125,-0.0634765625,0.126953125,0.01220703125,-0.0244140625,0.04150390625,0.05126953125,0.0,0.0,0.02197265625,0.009765625
26,0.0,0.0,0.00244140625,0.0048828125,0.00732421875,-0.0048828125,-0.05859375,0.05615234375,0.009765625,0.01953125,-0.06103515625,0.126953125,0.01220703125,-0.0244140625,0.04150390625,0.05126953125,0.0,0.0,0.0341796875,0.00732421875
27,0.0,0.0,0.00244140625,0.0048828125,0.009765625,-0.0048828125,-0.05859375,0.05615234375,0.009765625,0.01953125,-0.06103515625,0.126953125,0.01220703125,-0.0244140625,0.04150390625,0.05126953125,0.0,0.0,0.03662109375,0.009765625
28,0.0,0.0,0.00244140625,0.0048828125,0.009765625,-0.0048828125,-0.05859375,0.05615234375,0.009765625,0.01953125,-0.05859375,0.126953125,0.01220703125,-0.0244140625,0.04150390625,0.05126953125,0.0,0.0,0.03662109375,0.009765625
29,0.0,0.0,0.00244140625,0.0048828125,0.009765625,-0.0048828125,-0.05859375,0.05615234375,0.009765625,0.01953125,-0.05859375,0.126953125,0.01220703125,-0.0244140625,0.04150390625,0.05126953125,0.0,0.0,0.03662109375,0.009765625
30,0.0,0.0,0.00244140625,0.0048828125,0.01220703125,-0.0048828125,-0.05859375,0.05615234375,0.009765625,0.01953125,-0.05615234375,0.12451171875,0.01220703125,-0.0244140625,0.04150390625,0.05126953125,0.0,0.0,0.03662109375,0.009765625
31,0.0,0.0,0.00244140625,0.0048828125,0.0146484375,-0.0048828125,-0.05859375,0.05615234375,0.009765625,0.01953125,-0.05615234375,0.12451171875,0.01220703125,-0.0244140625,0.04150390625,0.05126953125,0.0,0.0,0.03662109375,0.009765625
32,0.0,0.0,0.00244140625,0.0048828125,0.01708984375,-0.0048828125,-0.05859375,0.05859375,0.009765625,0.02197265625,-0.0537109375,0.12451171875,0.01220703125,-0.02685546875,0.04150390625,0.05126953125,0.0,0.0,0.03662109375,0.009765625
33,0.0,0.0,0.00244140625,0.0048828125,0.01953125,-0.00732421875,-0.05615234375,0.05615234375,0.00732421875,0.02197265625,-0.0537109375,0.1220703125,0.01220703125,-0.02685546875,0.04150390625,0.05126953125,0.0,0.0,0.03662109375,0.009765625
